H.m,H.E,t1.m,t1.E,t2.m,t2.E,H.pt,METx,METy,trueMETx,trueMETy,dm1,pt1,eta1,phi1,mass1,type1,dm2,pt2,eta2,phi2,mass2,type2,covXX,covXY,covYY
124.95193,457.01825,1.77682,410.86917,1.77682,46.149075,31.829865,9.982857,1.2990233,11.408444,2.7473893,1,44.158867,2.7225716,-0.13672857,4.969163,-1,1,30.545881,0.8574791,2.6216424,1.0893741,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.011505,2217.6702,1.77682,880.35175,1.77682,1337.3184,11.488371,4.7588882,-0.962454,-2.0065536,-2.9210582,1,56.35004,-3.2687807,1.1398888,1.9234282,-1,1,47.28533,-3.8461494,-2.188973,2.5971205,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.95994,153.54008,1.77682,109.65691,1.77682,43.883175,73.52811,6.845835,-0.5471059,6.334447,-7.496106,1,92.32095,0.24907415,-0.49531516,0.6042891,-1,1,27.773321,0.59969944,3.0064542,1.2760248,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.000824,184.01196,1.77682,52.58339,1.77682,131.42857,32.24367,-2.6269133,-2.1423848,4.602571,13.782086,2,29.347929,-0.0584089,0.6005208,0.0005109989499999,-1,3,11.4934635,-2.2600868,-3.0358472,0.1056583755,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00648,267.99347,1.77682,142.79051,1.77682,125.20297,65.38018,43.481632,9.461163,40.172577,-4.4272375,1,49.4873,1.2727356,1.4987662,6.649115,-1,2,16.39127,1.2173303,-0.6871607,0.0005109989499999,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00154,291.07727,1.77682,264.77496,1.77682,26.302307,42.038696,1.6099408,-7.845521,1.6164405,-1.3372496,1,58.64794,-2.0557513,-1.0559857,3.5703793,-1,1,32.612732,-0.0693404,1.8160803,6.4698896,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00373,371.4102,1.77682,268.0545,1.77682,103.35569,10.178007,5.0086117,-1.6116036,0.8924708,1.5750105,1,54.56302,2.2408059,-1.1052337,6.943428,-1,1,55.36534,1.2535954,1.9052944,2.5052884,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.9964,648.4621,1.77682,377.0019,1.77682,271.46024,11.769901,-25.65854,-17.02672,-23.691267,-12.788209,1,27.774118,-2.359698,-2.6491778,0.15162066,-1,1,47.361305,-2.1970441,0.47238213,7.3567166,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99966,375.91553,1.77682,21.427534,1.77682,354.488,41.95792,13.647665,6.0294724,17.661886,-7.523134,1,36.46897,0.0061082547,-1.5457067,6.9815288,-1,1,22.322264,3.1803887,-0.23560098,2.546883,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00623,152.01755,1.77682,66.699646,1.77682,85.3179,78.04939,15.371708,-14.21106,23.583242,-11.184945,1,46.660126,0.12864108,0.7352285,1.3830372,-1,1,51.11416,0.36684114,-1.2897015,1.275127,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99715,1938.1505,1.77682,327.84558,1.77682,1610.3049,286.42188,-0.67613435,98.99294,36.567875,86.272575,1,37.44119,2.8238833,0.026474027,1.8337935,-1,1,185.39604,2.466799,1.2310373,1.3598207,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99956,197.07857,1.77682,72.32041,1.77682,124.75816,45.97551,16.808563,-5.5684094,8.33205,8.584367,1,57.169804,-0.87209404,-1.6915917,5.0248437,-1,1,72.1549,-0.9857612,0.8960975,3.0416384,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.96437,140.93423,1.77682,78.96862,1.77682,61.965607,63.004013,-16.862926,-18.46045,-3.4133525,-19.759476,1,41.264923,0.7585756,-2.3018177,0.1495312,-1,1,48.807175,-0.6081309,-0.32512012,0.9748906,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.000305,1174.5964,1.77682,240.63898,1.77682,933.9575,15.4578,-12.230256,-6.1826077,-9.867321,-16.96322,1,51.335083,2.2310407,0.68076855,4.528825,-1,1,26.531244,3.7432978,-2.086572,2.2845836,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.007996,695.2671,1.77682,399.81183,1.77682,295.4553,45.888264,10.066129,6.139287,8.009759,12.170858,1,78.23293,-2.1973658,-1.9116713,1.967047,-1,1,27.965353,-2.5374427,1.1830801,1.9145133,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00196,217.29369,1.77682,101.440445,1.77682,115.85324,97.10086,57.501965,-27.322212,56.540432,-20.477015,1,48.61216,-1.6484873,1.4658295,2.6180036,-1,2,41.258965,-0.5196871,-0.39997962,0.0005109989499999,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00096,138.2532,1.77682,71.844864,1.77682,66.40835,6.798751,25.896847,50.730152,28.462996,42.445213,1,71.38361,0.5607948,-2.0410411,5.529288,-1,3,11.2454605,0.38671297,1.0059612,0.1056583755,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99958,1570.473,1.77682,1194.5348,1.77682,375.93823,5.045315,5.045675,0.8728193,13.2829685,-3.8098927,1,45.34254,-3.7595968,3.0348248,2.259615,-1,1,36.564793,-2.603043,-0.22759362,1.6670333,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.98028,719.4584,1.77682,379.70328,1.77682,339.7551,36.364353,8.024232,28.339148,-4.098111,-10.161298,1,52.677032,-2.5882494,1.8518666,3.6574624,-1,1,73.66236,-2.239173,-1.8288145,5.115221,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.9931,689.05927,1.77682,497.11246,1.77682,191.94682,43.282795,-4.1413994,-26.546232,-11.693847,-26.003342,1,51.472023,2.4435513,-1.9171102,2.9450376,-1,1,47.097042,2.1113594,1.5383252,1.1521523,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99917,133.54854,1.77682,60.99898,1.77682,72.54956,12.353337,-4.2662477,17.457735,-1.318066,-4.219817,1,52.00769,-0.062589645,1.9560139,2.291316,-1,1,67.36151,-0.6428537,-1.4109153,2.5275903,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.9982,216.17168,1.77682,187.65282,1.77682,28.518864,46.46406,46.2306,-1.1757855,38.277596,-0.96853167,1,23.70962,-1.6281781,0.0838853,0.82838917,-1,1,27.05264,0.080393426,-2.5770159,3.6743183,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99725,559.03,1.77682,312.27832,1.77682,246.75175,97.95017,-15.028152,8.380875,-5.6581984,17.454762,1,62.259018,-2.027526,2.1633575,0.63954735,-1,1,74.923065,-1.8339168,0.31483755,3.3817716,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.998215,362.11053,1.77682,194.15787,1.77682,167.95267,6.291358,2.9947937,-46.211784,1.5580039,-16.215155,2,31.103798,-1.8399326,-1.5561504,0.0005109989499999,-1,1,69.3908,-1.5946181,1.6058402,1.3376596,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.000595,249.69632,1.77682,185.38022,1.77682,64.3161,64.62074,5.0573964,20.431156,-7.635634,22.360344,1,53.556644,1.2062712,1.5559937,5.928553,-1,2,11.605933,1.0859709,-1.924989,0.0005109989499999,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.000534,127.360855,1.77682,66.97541,1.77682,60.385445,10.946605,-3.7640207,28.404512,-12.509854,28.925701,1,47.990063,0.8168448,-1.3603505,4.795809,-1,2,21.130112,-0.37025246,1.9574622,0.0005109989499999,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99744,236.1312,1.77682,161.91061,1.77682,74.22058,65.814354,3.3468165,-11.630135,22.793022,-3.5907345,1,71.11434,1.0620704,0.2868288,2.2504504,-1,2,21.769602,1.2061908,-2.4537911,0.0005109989499999,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99957,143.09523,1.77682,60.128334,1.77682,82.9669,30.134808,7.0240197,10.185239,2.9102626,4.701844,1,34.619637,-0.7159873,1.016272,2.862264,-1,1,71.174644,-0.3424697,-2.0936177,1.2416141,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00026,226.46129,1.77682,34.606323,1.77682,191.85497,32.55666,0.046764642,10.672861,-5.956562,10.438196,3,12.200129,-0.011465031,-3.0516794,0.1056583755,-1,3,34.14955,-1.9700555,0.73370767,0.1056583755,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00002,480.19327,1.77682,410.21558,1.77682,69.977684,62.722427,6.454116,-5.816955,0.24182312,5.2765307,1,59.968014,-2.5901473,1.913352,2.2902496,-1,1,42.469585,-1.0159023,-2.4623775,1.3783435,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.002625,1052.0127,1.77682,273.3265,1.77682,778.6862,7.736853,10.246491,6.295173,7.2524285,8.540166,1,47.262814,2.2220526,0.7972721,1.9750319,-1,1,52.957745,3.4025087,-2.4632092,4.5154543,-1,303.1640621297727,2.93050529468397,299.52846075415385
125.00326,153.13533,1.77682,84.208755,1.77682,68.926575,12.633708,14.172627,-2.6686113,0.6821116,2.164121,1,43.986526,1.0469339,-1.8020265,1.8517729,-1,1,50.901173,0.343506,1.2374413,0.5605576,-1,303.1640621297727,2.93050529468397,299.52846075415385
124.99453,426.78027,1.77682,70.83391,1.77682,355.94635,407.93915,-30.834253,-119.80447,-40.413982,-180.7462,1,55.478886,-0.39469475,-2.3979516,3.1442194,-1,1,186.32608,0.105889484,-1.7386807,1.0219823,-1,303.1640621297727,2.93050529468397,299.52846075415385
